File Name,FAKE Accuracy_pred,FAKE Accuracy_ref,FAKE bleu_score,FAKE meteor_score,FAKE rouge_1,FAKE rouge_l,FCT Accuracy_pred,FCT Accuracy_ref,FCT bleu_score,FCT meteor_score,FCT rouge_1,FCT rouge_l,NOTA Accuracy_pred,NOTA Accuracy_ref,NOTA bleu_score,NOTA meteor_score,NOTA rouge_1,NOTA rouge_l
L10_best.csv,0.345742184,0.406350915,0.287640339,0.404870096,0.344706694,0.344706694,0.042003917,0.492364054,0.013430808,0.156898421,0.099672565,0.097656159,0.086059377,0.460219442,0.015773836,0.155310955,0.10497391,0.103089199
L10_last.csv,0.534061897,0.584364909,0.421224827,0.530654784,0.53353639,0.53353639,0.054154843,0.340456306,0.012905629,0.14789469,0.097985857,0.095624571,0.11144935,0.460510972,0.015646952,0.178607302,0.102241774,0.100200648
L11.csv,0.041254478,0.225780409,0.025705576,0.161385481,0.052079448,0.052044564,0.029127275,0.603805639,0.011609331,0.147854346,0.093237204,0.09141682,0.03222938,0.450029153,0.006478008,0.099970644,0.084144104,0.082450627
L8.csv,0.099337136,0.215688913,0.05951718,0.323776287,0.100860116,0.100860116,0.071591257,0.264914482,0.015104743,0.157978302,0.102706995,0.101072274,0.090249439,0.146824976,0.000619409,0.065637711,0.01003011,0.00956436
L9.csv,0.063686759,0.120694295,0.041855084,0.225012353,0.056463365,0.056463365,0.132971927,0.312395451,0.027350955,0.224804806,0.185126471,0.18170851,0.08155149,0.181795293,0.012410091,0.099673568,0.063739253,0.061747906
Q1.csv,0.91330528,0.916442411,0.909311769,0.919286104,0.913316342,0.913316342,0.110814913,0.308567111,0.021119936,0.191880961,0.155057721,0.15225481,0.051823526,0.119474186,0.010891141,0.067031329,0.045798262,0.044796116
Q2.csv,0.967540935,0.967841765,0.929542145,0.935505488,0.967085272,0.967085272,0.123261452,0.32902897,0.030828191,0.228896232,0.185653075,0.182569992,0.115292982,0.254757235,0.017916244,0.141869686,0.076744823,0.075058587
Q3.csv,0.990892127,0.99138859,0.972573367,0.973124744,0.990539143,0.990539143,0.075296373,0.361722056,0.020010524,0.194609029,0.134620891,0.131901275,0.053582938,0.219058094,0.006168653,0.091465163,0.058832056,0.056175223
Q4.csv,0.754774534,0.765742734,0.751457973,0.777827921,0.755445111,0.755445111,0.070322607,0.401724151,0.020394256,0.198642584,0.136095984,0.133373537,0.063275734,0.280067317,0.015480535,0.123674718,0.101514614,0.098262093
Q5.csv,0.898377797,0.904063509,0.847339498,0.864290256,0.898478959,0.898478959,0.054991314,0.459303076,0.016282323,0.183914659,0.119671893,0.117006799,0.050118405,0.308252942,0.014782073,0.114121679,0.094540203,0.091672889
Quantize_base.csv,0.91330528,0.916442411,0.909311769,0.919286104,0.913316342,0.913316342,0.110814913,0.308567111,0.021119936,0.191880961,0.155057721,0.15225481,0.051823526,0.119474186,0.010891141,0.067031329,0.045798262,0.044796116
non_Quantize_base.csv,0.018201815,0.117330463,0.010397564,0.139835757,0.025553855,0.025538905,0.04001331,0.505427051,0.013203072,0.159223295,0.093534178,0.091357279,0.037629403,0.3916702,0.004291953,0.104100596,0.077603375,0.075327597
